42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:30:12.1 (11365990)|STATEMENT_EXECUTE|[1]
13:30:12.1 (11375435)|STATEMENT_EXECUTE|[1]
13:30:12.1 (11400440)|HEAP_ALLOCATE|[1]|Bytes:5
13:30:12.1 (11424669)|METHOD_EXIT|[1]|CloneQuote
13:30:12.1 (11499661)|METHOD_ENTRY|[1]|01pf4000009Vx35|CloneQuote.cloneQuote(Id)
13:30:12.1 (11596620)|VARIABLE_SCOPE_BEGIN|[3]|quoteId|Id|false|false
13:30:12.1 (11839100)|VARIABLE_ASSIGNMENT|[3]|quoteId|"0Q0f40000009bwtCAA"
13:30:12.1 (11867707)|HEAP_ALLOCATE|[6]|Bytes:5
13:30:12.1 (11876543)|STATEMENT_EXECUTE|[3]
13:30:12.1 (11878685)|STATEMENT_EXECUTE|[4]
13:30:12.1 (11884200)|HEAP_ALLOCATE|[6]|Bytes:183
13:30:12.1 (11917334)|HEAP_ALLOCATE|[6]|Bytes:4
13:30:12.1 (11937744)|HEAP_ALLOCATE|[6]|Bytes:7
13:30:12.1 (12575261)|SOQL_EXECUTE_BEGIN|[6]|Aggregations:1|SELECT Name, OPPORTUNITYiD, Pricebook2Id, (SELECT QuoteId, Description, Discount, PricebookEntryId, Quantity, Product2Id, UnitPrice FROM QuoteLineItems) FROM QUOTE WHERE ID = :tmpVar1
13:30:12.1 (75052920)|SOQL_EXECUTE_END|[6]|Rows:1
13:30:12.1 (75133490)|HEAP_ALLOCATE|[6]|Bytes:8
13:30:12.1 (75187790)|HEAP_ALLOCATE|[6]|Bytes:581
13:30:12.1 (75408636)|HEAP_ALLOCATE|[6]|Bytes:8
13:30:12.1 (75476799)|HEAP_ALLOCATE|[4]|Bytes:31
13:30:12.1 (75568107)|HEAP_ALLOCATE|[4]|Bytes:24
13:30:12.1 (75614574)|VARIABLE_SCOPE_BEGIN|[4]|q1|Quote|true|false
13:30:12.1 (75695522)|VARIABLE_ASSIGNMENT|[4]|q1|{"Name":"QUOTE 2","OpportunityId":"006f400000AO4MJAA1","Pricebook2Id":"01sf4000003Vb8JAAS","Id":"0Q0f40000009bwtCAA","QuoteLineItems":[{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKqGAM","PricebookEntryId":"01uf4000002Sio9AAC","Quantity":1.00,"Product2Id":"01tf4000001E5PCAA0","UnitPrice":5000.00},{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKrGAM","PricebookEntryId":"01uf4000002SioGAAS","Quantity":3.00,"Product2Id":"01tf4000001E5PJAA0","UnitPrice":100000.00}]}|0x30a3189
13:30:12.1 (75724103)|STATEMENT_EXECUTE|[11]
13:30:12.1 (75969397)|HEAP_ALLOCATE|[11]|Bytes:556
13:30:12.1 (75982716)|HEAP_ALLOCATE|[11]|Bytes:20
13:30:12.1 (76038454)|VARIABLE_SCOPE_BEGIN|[11]|q2|Quote|true|false
13:30:12.1 (76097691)|VARIABLE_ASSIGNMENT|[11]|q2|{"Name":"QUOTE 2","OpportunityId":"006f400000AO4MJAA1","Pricebook2Id":"01sf4000003Vb8JAAS","QuoteLineItems":[{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKqGAM","PricebookEntryId":"01uf4000002Sio9AAC","Quantity":1.00,"Product2Id":"01tf4000001E5PCAA0","UnitPrice":5000.00},{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKrGAM","PricebookEntryId":"01uf4000002SioGAAS","Quantity":3.00,"Product2Id":"01tf4000001E5PJAA0","UnitPrice":100000.00}]}|0x34bc9058
13:30:12.1 (76125767)|STATEMENT_EXECUTE|[12]
13:30:12.1 (76284449)|VARIABLE_ASSIGNMENT|[12]|this.Pricebook2Id|"01sf4000003Vb8JAAS"|0x34bc9058
13:30:12.1 (76299858)|STATEMENT_EXECUTE|[13]
13:30:12.1 (76308272)|HEAP_ALLOCATE|[13]|Bytes:7
13:30:12.1 (76454916)|HEAP_ALLOCATE|[13]|Bytes:87
13:30:12.1 (76510879)|HEAP_ALLOCATE|[13]|Bytes:94
13:30:12.1 (76574037)|USER_DEBUG|[13]|DEBUG|QUOTE: Quote:{Name=QUOTE 2, OpportunityId=006f400000AO4MJAA1, Pricebook2Id=01sf4000003Vb8JAAS}
13:30:12.1 (76597558)|STATEMENT_EXECUTE|[14]
13:30:12.1 (76645719)|HEAP_ALLOCATE|[14]|Bytes:8
13:30:12.1 (76668194)|DML_BEGIN|[14]|Op:Insert|Type:Quote|Rows:1
13:30:12.1 (76726109)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:30:12.1 (128804582)|DML_END|[14]
13:30:12.1 (128861559)|HEAP_ALLOCATE|[14]|Bytes:-4
13:30:12.1 (128895302)|STATEMENT_EXECUTE|[15]
13:30:12.1 (128944198)|VARIABLE_SCOPE_BEGIN|[15]|idQuote|Id|false|false
13:30:12.1 (129063999)|VARIABLE_ASSIGNMENT|[15]|idQuote|"0Q0f40000009eA6CAI"
13:30:12.1 (129078171)|STATEMENT_EXECUTE|[18]
13:30:12.1 (129087825)|HEAP_ALLOCATE|[18]|Bytes:14
13:30:12.1 (129101218)|HEAP_ALLOCATE|[18]|Bytes:13
13:30:12.1 (129179185)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:12
13:30:12.1 (129294263)|HEAP_ALLOCATE|[18]|Bytes:12
13:30:12.1 (129319069)|VARIABLE_SCOPE_BEGIN|[18]|items|List<QuoteLineItem>|true|false
13:30:12.1 (129373611)|VARIABLE_ASSIGNMENT|[18]|items|[{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKqGAM","PricebookEntryId":"01uf4000002Sio9AAC","Quantity":1.00,"Product2Id":"01tf4000001E5PCAA0","UnitPrice":5000.00},{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKrGAM","PricebookEntryId":"01uf4000002SioGAAS","Quantity":3.00,"Product2Id":"01tf4000001E5PJAA0","UnitPrice":100000.00}]|0x5a0c2134
13:30:12.1 (129677525)|HEAP_ALLOCATE|[20]|Bytes:5
13:30:12.1 (129711045)|HEAP_ALLOCATE|[20]|Bytes:28
13:30:12.1 (129730416)|VARIABLE_SCOPE_BEGIN|[20]|i|QuoteLineItem|true|false
13:30:12.1 (129768447)|VARIABLE_ASSIGNMENT|[20]|i|{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKqGAM","PricebookEntryId":"01uf4000002Sio9AAC","Quantity":1.00,"Product2Id":"01tf4000001E5PCAA0","UnitPrice":5000.00}|0x5721564b
13:30:12.1 (129783226)|STATEMENT_EXECUTE|[20]
13:30:12.1 (129786745)|STATEMENT_EXECUTE|[21]
13:30:12.1 (129823140)|HEAP_ALLOCATE|[21]|Bytes:4
13:30:12.1 (129978545)|VARIABLE_SCOPE_BEGIN|[21]|ql|QuoteLineItem|true|false
13:30:12.1 (130011430)|VARIABLE_ASSIGNMENT|[21]|ql|{}|0x4256a310
13:30:12.1 (130025463)|STATEMENT_EXECUTE|[22]
13:30:12.1 (130130886)|VARIABLE_ASSIGNMENT|[22]|this.QuoteId|"0Q0f40000009eA6CAI"|0x4256a310
13:30:12.1 (130145080)|STATEMENT_EXECUTE|[23]
13:30:12.1 (130202350)|VARIABLE_ASSIGNMENT|[23]|this.Description|null|0x4256a310
13:30:12.1 (130215127)|STATEMENT_EXECUTE|[24]
13:30:12.1 (130264917)|VARIABLE_ASSIGNMENT|[24]|this.Discount|null|0x4256a310
13:30:12.1 (130277822)|STATEMENT_EXECUTE|[25]
13:30:12.1 (130342825)|VARIABLE_ASSIGNMENT|[25]|this.PricebookEntryId|"01uf4000002Sio9AAC"|0x4256a310
13:30:12.1 (130357026)|STATEMENT_EXECUTE|[26]
13:30:12.1 (130446316)|VARIABLE_ASSIGNMENT|[26]|this.Quantity|1.00|0x4256a310
13:30:12.1 (130459468)|STATEMENT_EXECUTE|[27]
13:30:12.1 (130526793)|VARIABLE_ASSIGNMENT|[27]|this.Product2Id|"01tf4000001E5PCAA0"|0x4256a310
13:30:12.1 (130540437)|STATEMENT_EXECUTE|[28]
13:30:12.1 (130609318)|VARIABLE_ASSIGNMENT|[28]|this.UnitPrice|5000.00|0x4256a310
13:30:12.1 (130623148)|STATEMENT_EXECUTE|[29]
13:30:12.1 (130630749)|HEAP_ALLOCATE|[29]|Bytes:8
13:30:12.1 (130778948)|HEAP_ALLOCATE|[29]|Bytes:177
13:30:12.1 (130816657)|HEAP_ALLOCATE|[29]|Bytes:185
13:30:12.1 (130845728)|USER_DEBUG|[29]|DEBUG|ql id : QuoteLineItem:{QuoteId=0Q0f40000009eA6CAI, Description=null, Discount=null, PricebookEntryId=01uf4000002Sio9AAC, Quantity=1.00, Product2Id=01tf4000001E5PCAA0, UnitPrice=5000.00}
13:30:12.1 (130864399)|STATEMENT_EXECUTE|[30]
13:30:12.1 (130890898)|HEAP_ALLOCATE|[30]|Bytes:8
13:30:12.1 (130912121)|DML_BEGIN|[30]|Op:Insert|Type:QuoteLineItem|Rows:1
13:30:12.1 (130967432)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:30:12.1 (183887899)|DML_END|[30]
13:30:12.1 (183984436)|HEAP_ALLOCATE|[20]|Bytes:5
13:30:12.1 (184029399)|HEAP_ALLOCATE|[20]|Bytes:28
13:30:12.1 (184052377)|VARIABLE_SCOPE_BEGIN|[20]|i|QuoteLineItem|true|false
13:30:12.1 (184100513)|VARIABLE_ASSIGNMENT|[20]|i|{"QuoteId":"0Q0f40000009bwtCAA","Id":"0QLf4000000sNKrGAM","PricebookEntryId":"01uf4000002SioGAAS","Quantity":3.00,"Product2Id":"01tf4000001E5PJAA0","UnitPrice":100000.00}|0x6b80fc86
13:30:12.1 (184116952)|STATEMENT_EXECUTE|[20]
13:30:12.1 (184120258)|STATEMENT_EXECUTE|[21]
13:30:12.1 (184158363)|HEAP_ALLOCATE|[21]|Bytes:4
13:30:12.1 (184190542)|VARIABLE_SCOPE_BEGIN|[21]|ql|QuoteLineItem|true|false
13:30:12.1 (184209283)|VARIABLE_ASSIGNMENT|[21]|ql|{}|0x463b1320
13:30:12.1 (184215976)|STATEMENT_EXECUTE|[22]
13:30:12.1 (184279103)|VARIABLE_ASSIGNMENT|[22]|this.QuoteId|"0Q0f40000009eA6CAI"|0x463b1320
13:30:12.1 (184288754)|STATEMENT_EXECUTE|[23]
13:30:12.1 (184328494)|VARIABLE_ASSIGNMENT|[23]|this.Description|null|0x463b1320
13:30:12.1 (184337145)|STATEMENT_EXECUTE|[24]
13:30:12.1 (184367876)|VARIABLE_ASSIGNMENT|[24]|this.Discount|null|0x463b1320
13:30:12.1 (184375998)|STATEMENT_EXECUTE|[25]
13:30:12.1 (184418944)|VARIABLE_ASSIGNMENT|[25]|this.PricebookEntryId|"01uf4000002SioGAAS"|0x463b1320
13:30:12.1 (184427349)|STATEMENT_EXECUTE|[26]
13:30:12.1 (184475062)|VARIABLE_ASSIGNMENT|[26]|this.Quantity|3.00|0x463b1320
13:30:12.1 (184483787)|STATEMENT_EXECUTE|[27]
13:30:12.1 (184521557)|VARIABLE_ASSIGNMENT|[27]|this.Product2Id|"01tf4000001E5PJAA0"|0x463b1320
13:30:12.1 (184530265)|STATEMENT_EXECUTE|[28]
13:30:12.1 (184569793)|VARIABLE_ASSIGNMENT|[28]|this.UnitPrice|100000.00|0x463b1320
13:30:12.1 (184582653)|STATEMENT_EXECUTE|[29]
13:30:12.1 (184706820)|HEAP_ALLOCATE|[29]|Bytes:179
13:30:12.1 (184751773)|HEAP_ALLOCATE|[29]|Bytes:187
13:30:12.1 (184782693)|USER_DEBUG|[29]|DEBUG|ql id : QuoteLineItem:{QuoteId=0Q0f40000009eA6CAI, Description=null, Discount=null, PricebookEntryId=01uf4000002SioGAAS, Quantity=3.00, Product2Id=01tf4000001E5PJAA0, UnitPrice=100000.00}
13:30:12.1 (184803073)|STATEMENT_EXECUTE|[30]
13:30:12.1 (184829338)|HEAP_ALLOCATE|[30]|Bytes:8
13:30:12.1 (184853407)|DML_BEGIN|[30]|Op:Insert|Type:QuoteLineItem|Rows:1
13:30:12.1 (184923187)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:30:12.1 (233221003)|DML_END|[30]
13:30:12.1 (233289327)|HEAP_ALLOCATE|[20]|Bytes:5
13:30:12.1 (233332416)|VARIABLE_ASSIGNMENT|[20]|i|null|
13:30:12.1 (233360194)|METHOD_EXIT|[1]|01pf4000009Vx35|CloneQuote.cloneQuote(Id)
13:30:12.1 (233377977)|SYSTEM_MODE_EXIT|false
13:30:12.242 (242998906)|CUMULATIVE_LIMIT_USAGE
13:30:12.242 (242998906)|LIMIT_USAGE_FOR_NS|(default)|
  Number of SOQL queries: 1 out of 100
  Number of query rows: 3 out of 50000
  Number of SOSL queries: 0 out of 20
  Number of DML statements: 3 out of 150
  Number of DML rows: 3 out of 10000
  Maximum CPU time: 0 out of 10000
  Maximum heap size: 0 out of 6000000
  Number of callouts: 0 out of 100
  Number of Email Invocations: 0 out of 10
  Number of future calls: 0 out of 50
  Number of queueable jobs added to the queue: 0 out of 50
  Number of Mobile Apex push calls: 0 out of 10

13:30:12.242 (242998906)|CUMULATIVE_LIMIT_USAGE_END

13:30:12.1 (243084430)|CODE_UNIT_FINISHED|execute_anonymous_apex
13:30:12.1 (244159924)|EXECUTION_FINISHED
