42.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:18:19.0 (5474123)|SYSTEM_METHOD_EXIT|[7]|QueryLocatorIterator
14:18:19.0 (5481460)|HEAP_ALLOCATE|[8]|Bytes:28
14:18:19.0 (5527441)|HEAP_ALLOCATE|[8]|Bytes:132
14:18:19.0 (5550644)|HEAP_ALLOCATE|[8]|Bytes:8
14:18:19.0 (5557142)|HEAP_ALLOCATE|[8]|Bytes:8
14:18:19.0 (5564754)|VARIABLE_SCOPE_BEGIN|[15]|this|Database.QueryLocatorIterator|true|false
14:18:19.0 (5611709)|VARIABLE_ASSIGNMENT|[15]|this|{}|0x422af1e7
14:18:19.0 (5619098)|VARIABLE_SCOPE_BEGIN|[15]|values|List<SObject>|true|false
14:18:19.0 (5631699)|VARIABLE_ASSIGNMENT|[15]|values|"List of size 32 too large to display"|0x8b8da44
14:18:19.0 (5637006)|VARIABLE_SCOPE_BEGIN|[15]|ql|Database.QueryLocator|true|false
14:18:19.0 (5658453)|VARIABLE_ASSIGNMENT|[15]|ql|{"query":"SELECT Name FROM Quo (2 more) ..."}|0x4924c10c
14:18:19.0 (5664002)|VARIABLE_SCOPE_BEGIN|[15]|totalNumRecords|Integer|false|false
14:18:19.0 (5672392)|VARIABLE_ASSIGNMENT|[15]|totalNumRecords|32
14:18:19.0 (5676758)|VARIABLE_SCOPE_BEGIN|[15]|queryMoreSize|Integer|false|false
14:18:19.0 (5683559)|VARIABLE_ASSIGNMENT|[15]|queryMoreSize|49968
14:18:19.0 (5772350)|HEAP_ALLOCATE|[8]|Bytes:28
14:18:19.0 (5793749)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (5839949)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (5847400)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (5915585)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (5925643)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (5950848)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009lJECAY"}|0x474dcd38
14:18:19.0 (5961128)|STATEMENT_EXECUTE|[8]
14:18:19.0 (5963541)|STATEMENT_EXECUTE|[9]
14:18:19.0 (5994851)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6006068)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6024302)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6028719)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6072498)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6078250)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6091349)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"first quote","Id":"0Q0f40000009lJYCAY"}|0x969456f
14:18:19.0 (6096882)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6098421)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6103805)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6110912)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6125494)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6130408)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6188013)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6195862)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6207938)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"first quote","Id":"0Q0f40000009lJJCAY"}|0x66aad9ef
14:18:19.0 (6213069)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6214591)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6220038)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6227367)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6242314)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6246511)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6282737)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6287551)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6301108)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"first quote","Id":"0Q0f40000009lJOCAY"}|0x59329100
14:18:19.0 (6306195)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6307729)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6312814)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6319473)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6333917)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6338399)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6373226)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6378754)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6388981)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"first quote","Id":"0Q0f40000009lelCAA"}|0x70bfa313
14:18:19.0 (6394469)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6396051)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6401095)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6407599)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6421410)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6425754)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6459824)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6464653)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6474682)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"first quote","Id":"0Q0f40000009lemCAA"}|0x333ed256
14:18:19.0 (6479711)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6481202)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6485978)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6492661)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6512652)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6517204)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6551924)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6556623)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6567351)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"first quote","Id":"0Q0f40000009VVICA2"}|0x36b007f
14:18:19.0 (6572327)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6574068)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6579051)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6585381)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6599383)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6604013)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6639129)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6644415)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6654563)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009e7gCAA"}|0x4e9c3b83
14:18:19.0 (6659835)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6661322)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6666202)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6672451)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6685844)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6690280)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6724114)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6729640)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6739345)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLKCAY"}|0x43b6be78
14:18:19.0 (6744708)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6746143)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6750798)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6757064)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6770721)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6775337)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6809192)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6814115)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6823483)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLLCAY"}|0x65f783a
14:18:19.0 (6828794)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6830211)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6834661)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6841543)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6855751)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6859471)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6893118)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6897800)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6907088)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLeCAI"}|0x5dece876
14:18:19.0 (6911604)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6913034)|STATEMENT_EXECUTE|[9]
14:18:19.0 (6917516)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (6924024)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6937923)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (6942037)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6975897)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (6980763)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (6990429)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLfCAI"}|0x7283906b
14:18:19.0 (6995179)|STATEMENT_EXECUTE|[8]
14:18:19.0 (6996620)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7001249)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7008228)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7021902)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7026335)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7060239)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7065414)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7075012)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kMDCAY"}|0x430b53d
14:18:19.0 (7079885)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7081319)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7085937)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7092118)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7105936)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7110176)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7143756)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7148534)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7157826)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLtCAI"}|0x79538329
14:18:19.0 (7162501)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7164018)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7168522)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7174759)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7188151)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7192453)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7226450)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7231039)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7240408)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLuCAI"}|0x43466b2d
14:18:19.0 (7245339)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7246792)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7251462)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7257588)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7271199)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7275108)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7308639)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7313303)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7322604)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLACAY"}|0x2da8abe6
14:18:19.0 (7327280)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7328732)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7333280)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7339766)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7353383)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7357165)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7390616)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7395010)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7404769)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kM3CAI"}|0x2cb07a33
14:18:19.0 (7409739)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7411347)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7415835)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7422076)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7435301)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7439854)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7473377)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7478665)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7488505)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kMNCAY"}|0x499ffe47
14:18:19.0 (7493404)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7494878)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7499551)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7505824)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7524564)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7528689)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7564407)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7569418)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7579130)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kMICAY"}|0x39f0eb5a
14:18:19.0 (7583847)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7585619)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7590347)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7596624)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7610073)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7614298)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7648538)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7653422)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7663855)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kMJCAY"}|0x51ef8019
14:18:19.0 (7668646)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7670082)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7675032)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7681865)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7695399)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7699258)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7733061)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7737733)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7747539)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kKvCAI"}|0x7e2119f5
14:18:19.0 (7752560)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7754064)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7758628)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7764807)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7778807)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7783540)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7817654)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7822331)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7831927)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kKqCAI"}|0x48fabdb0
14:18:19.0 (7837199)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7838646)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7843260)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7849669)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7863225)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7867318)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7901205)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7906096)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7915262)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kKWCAY"}|0x76ee35ce
14:18:19.0 (7919704)|STATEMENT_EXECUTE|[8]
14:18:19.0 (7921206)|STATEMENT_EXECUTE|[9]
14:18:19.0 (7925787)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (7932178)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7945390)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (7949283)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7983057)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (7987754)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (7997381)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kL0CAI"}|0x5bac9c42
14:18:19.0 (8002189)|STATEMENT_EXECUTE|[8]
14:18:19.0 (8004075)|STATEMENT_EXECUTE|[9]
14:18:19.0 (8008761)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (8015499)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (8028918)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (8033221)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (8067270)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (8071987)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (8081335)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kLyCAI"}|0x2d34d873
14:18:19.0 (8086592)|STATEMENT_EXECUTE|[8]
14:18:19.0 (8088021)|STATEMENT_EXECUTE|[9]
14:18:19.0 (8092521)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (8098799)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (8113156)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (8116937)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (8151099)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (8155732)|VARIABLE_SCOPE_BEGIN|[8]|q|Quote|true|false
14:18:19.0 (8165191)|VARIABLE_ASSIGNMENT|[8]|q|{"Name":"QUOTE 2","Id":"0Q0f40000009kM8CAI"}|0x303ee758
14:18:19.0 (8169888)|STATEMENT_EXECUTE|[8]
14:18:19.0 (8171365)|STATEMENT_EXECUTE|[9]
14:18:19.0 (8175866)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
14:18:19.0 (8181997)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (8195318)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.hasNext()
14:18:19.0 (8199096)|METHOD_ENTRY|[8]||Database.QueryLocatorIterator.next()
14:18:19.0 (8232914)|METHOD_EXIT|[8]||Database.QueryLocatorIterator.next()
